datetime,portfolio_value,cash,positions,return
2015-01-02 08:30:00-05:00,100000.0,100000.0,[],
2015-01-02 09:30:00-05:00,100000.0,100000.0,[],0.0
2015-01-02 09:30:00-05:00,100000.0,100000.0,[],0.0
2015-01-03 09:30:00-05:00,100000.0,64970.93568992615,"[{'asset': AVGO, 'quantity': 1491.0}, {'asset': HD, 'quantity': 190.0}]",0.0
2015-01-04 09:30:00-05:00,100000.0,64970.93568992615,"[{'asset': AVGO, 'quantity': 1491.0}, {'asset': HD, 'quantity': 190.0}]",0.0
2015-01-05 09:30:00-05:00,99419.57241249084,64970.93568992615,"[{'asset': AVGO, 'quantity': 1491.0}, {'asset': HD, 'quantity': 190.0}]",-0.00580427587509158
2015-01-06 09:30:00-05:00,98879.24381446838,50216.42306518555,"[{'asset': AVGO, 'quantity': 1491.0}, {'asset': HD, 'quantity': 190.0}, {'asset': AAPL, 'quantity': 545.0}]",-0.005434831240076599
2015-01-07 09:30:00-05:00,98727.67770957947,50216.42306518555,"[{'asset': AVGO, 'quantity': 1491.0}, {'asset': HD, 'quantity': 190.0}, {'asset': AAPL, 'quantity': 545.0}]",-0.001532840453081441
2015-01-08 09:30:00-05:00,100108.33521556854,50216.42306518555,"[{'asset': AVGO, 'quantity': 1491.0}, {'asset': HD, 'quantity': 190.0}, {'asset': AAPL, 'quantity': 545.0}]",0.013984503008877214
2015-01-09 09:30:00-05:00,101451.38612270355,50216.42306518555,"[{'asset': AVGO, 'quantity': 1491.0}, {'asset': HD, 'quantity': 190.0}, {'asset': AAPL, 'quantity': 545.0}]",0.013415974846080037
2015-01-10 09:30:00-05:00,101451.38612270355,50216.42306518555,"[{'asset': AVGO, 'quantity': 1491.0}, {'asset': HD, 'quantity': 190.0}, {'asset': AAPL, 'quantity': 545.0}]",0.0
2015-01-11 09:30:00-05:00,101451.38612270355,50216.42306518555,"[{'asset': AVGO, 'quantity': 1491.0}, {'asset': HD, 'quantity': 190.0}, {'asset': AAPL, 'quantity': 545.0}]",0.0
2015-01-12 09:30:00-05:00,101206.40946388245,50216.42306518555,"[{'asset': AVGO, 'quantity': 1491.0}, {'asset': HD, 'quantity': 190.0}, {'asset': AAPL, 'quantity': 545.0}]",-0.002414719681846589
2015-01-13 09:30:00-05:00,100900.25968933105,50216.42306518555,"[{'asset': AVGO, 'quantity': 1491.0}, {'asset': HD, 'quantity': 190.0}, {'asset': AAPL, 'quantity': 545.0}]",-0.003025003813228344
2015-01-14 09:30:00-05:00,99608.42393302917,50216.42306518555,"[{'asset': AVGO, 'quantity': 1491.0}, {'asset': HD, 'quantity': 190.0}, {'asset': AAPL, 'quantity': 545.0}]",-0.012803096446722728
2015-01-15 09:30:00-05:00,100275.51892757416,50216.42306518555,"[{'asset': AVGO, 'quantity': 1491.0}, {'asset': HD, 'quantity': 190.0}, {'asset': AAPL, 'quantity': 545.0}]",0.0066971744778685505
2015-01-16 09:30:00-05:00,98975.53987884521,50216.42306518555,"[{'asset': AVGO, 'quantity': 1491.0}, {'asset': HD, 'quantity': 190.0}, {'asset': AAPL, 'quantity': 545.0}]",-0.012964072015103523
2015-01-17 09:30:00-05:00,98975.53987884521,50216.42306518555,"[{'asset': AVGO, 'quantity': 1491.0}, {'asset': HD, 'quantity': 190.0}, {'asset': AAPL, 'quantity': 545.0}]",0.0
2015-01-18 09:30:00-05:00,98975.53987884521,50216.42306518555,"[{'asset': AVGO, 'quantity': 1491.0}, {'asset': HD, 'quantity': 190.0}, {'asset': AAPL, 'quantity': 545.0}]",0.0
2015-01-19 09:30:00-05:00,98975.53987884521,50216.42306518555,"[{'asset': AVGO, 'quantity': 1491.0}, {'asset': HD, 'quantity': 190.0}, {'asset': AAPL, 'quantity': 545.0}]",0.0
2015-01-20 09:30:00-05:00,100289.40151882172,50216.42306518555,"[{'asset': AVGO, 'quantity': 1491.0}, {'asset': HD, 'quantity': 190.0}, {'asset': AAPL, 'quantity': 545.0}]",0.01327460948012793
2015-01-21 09:30:00-05:00,100195.96314907074,50216.42306518555,"[{'asset': AVGO, 'quantity': 1491.0}, {'asset': HD, 'quantity': 190.0}, {'asset': AAPL, 'quantity': 545.0}]",-0.0009316873800810921
2015-01-22 09:30:00-05:00,100873.16519737244,50216.42306518555,"[{'asset': AVGO, 'quantity': 1491.0}, {'asset': HD, 'quantity': 190.0}, {'asset': AAPL, 'quantity': 545.0}]",0.006758775773173298
2015-01-23 09:30:00-05:00,101357.17169380188,50216.42306518555,"[{'asset': AVGO, 'quantity': 1491.0}, {'asset': HD, 'quantity': 190.0}, {'asset': AAPL, 'quantity': 545.0}]",0.004798169022280696
2015-01-24 09:30:00-05:00,101357.17169380188,50216.42306518555,"[{'asset': AVGO, 'quantity': 1491.0}, {'asset': HD, 'quantity': 190.0}, {'asset': AAPL, 'quantity': 545.0}]",0.0
2015-01-25 09:30:00-05:00,101357.17169380188,50216.42306518555,"[{'asset': AVGO, 'quantity': 1491.0}, {'asset': HD, 'quantity': 190.0}, {'asset': AAPL, 'quantity': 545.0}]",0.0
2015-01-26 09:30:00-05:00,101646.83157157898,50216.42306518555,"[{'asset': AVGO, 'quantity': 1491.0}, {'asset': HD, 'quantity': 190.0}, {'asset': AAPL, 'quantity': 545.0}]",0.0028578133440044784
2015-01-27 09:30:00-05:00,101107.78453826904,50216.42306518555,"[{'asset': AVGO, 'quantity': 1491.0}, {'asset': HD, 'quantity': 190.0}, {'asset': AAPL, 'quantity': 545.0}]",-0.0053031366052009865
2015-01-28 09:30:00-05:00,102224.00156784058,50216.42306518555,"[{'asset': AVGO, 'quantity': 1491.0}, {'asset': HD, 'quantity': 190.0}, {'asset': AAPL, 'quantity': 545.0}]",0.011039872297360587
