Metric,VAS.AX,Strategy
Risk-Free Rate,5.24%,5.24%
Time in Market,69.0%,70.0%
,,
Total Return,102%,411%
CAGR% (Annual Return),8.14%,19.9%
,,
Sharpe,0.25,0.74
RoMaD,0.23,0.74
Corr to Benchmark,1.0,0.32
Prob. Sharpe Ratio,11.18%,49.49%
Smart Sharpe,0.25,0.73
Sortino,0.34,1.05
Smart Sortino,0.34,1.03
Sortino/√2,0.24,0.74
Smart Sortino/√2,0.24,0.73
Omega,1.13,1.13
,,
Max Drawdown,-35.75%,-26.79%
Longest DD Days,626,552
Volatility (ann.),15.29%,20.29%
R^2,0.1,0.1
Information Ratio,0.03,0.03
Calmar,0.23,0.74
Skew,-0.93,-0.53
Kurtosis,12.64,6.11
,,
Expected Daily%,0.02%,0.05%
Expected Monthly%,0.65%,1.51%
Expected Yearly%,7.29%,17.73%
Daily Value-at-Risk,-1.29%,-1.69%
Expected Shortfall (cVaR),-1.29%,-1.69%
,,
MTD,0.0%,-1.02%
3M,8.55%,5.94%
6M,7.45%,4.79%
YTD,0.0%,-1.02%
1Y,12.06%,28.28%
3Y (ann.),8.36%,11.79%
5Y (ann.),9.66%,14.11%
10Y (ann.),8.14%,19.9%
All-time (ann.),8.14%,19.9%
,,
Best Day,5.98%,4.99%
Worst Day,-7.72%,-10.04%
Best Month,11.48%,12.24%
Worst Month,-18.39%,-16.92%
Best Year,23.83%,58.48%
Worst Year,-3.06%,-17.95%
,,
Avg. Drawdown,-2.35%,-3.71%
Avg. Drawdown Days,37,35
Recovery Factor,2.26,6.79
Ulcer Index,0.07,0.1
Serenity Index,0.61,0.95
,,
Avg. Up Month,3.02%,5.55%
Avg. Down Month,-3.98%,-6.09%
Win Days,1815.32,1780.82
Loss Days,1469.68,1504.18
Win Days%,55.26%,54.21%
Win Month%,62.96%,65.14%
Win Quarter%,72.22%,67.57%
Win Year%,77.78%,70.0%
,,
Beta,-,0.42
Alpha,-,0.16
Correlation,-,31.68%
Treynor Ratio,-,966.33%
