Metric,VAS.AX,Strategy
Risk-Free Rate,5.24%,5.24%
Time in Market,69.0%,70.0%
,,
Total Return,115%,110%
CAGR% (Annual Return),7.98%,7.71%
,,
Sharpe,0.25,0.23
RoMaD,0.22,0.2
Corr to Benchmark,1.0,0.33
Prob. Sharpe Ratio,9.84%,9.42%
Smart Sharpe,0.24,0.23
Sortino,0.33,0.32
Smart Sortino,0.32,0.31
Sortino/√2,0.24,0.23
Smart Sortino/√2,0.23,0.22
Omega,1.04,1.04
,,
Max Drawdown,-35.75%,-39.24%
Longest DD Days,626,1420
Volatility (ann.),15.04%,14.59%
R^2,0.11,0.11
Information Ratio,-0.0,-0.0
Calmar,0.22,0.2
Skew,-0.89,-0.37
Kurtosis,12.39,4.04
,,
Expected Daily%,0.02%,0.02%
Expected Monthly%,0.64%,0.61%
Expected Yearly%,7.21%,6.97%
Daily Value-at-Risk,-1.27%,-1.23%
Expected Shortfall (cVaR),-1.27%,-1.23%
,,
MTD,0.0%,-0.08%
3M,8.55%,12.22%
6M,7.45%,6.67%
YTD,0.0%,-0.08%
1Y,12.06%,4.06%
3Y (ann.),8.36%,-7.26%
5Y (ann.),9.66%,-0.4%
10Y (ann.),7.98%,7.71%
All-time (ann.),7.98%,7.71%
,,
Best Day,5.98%,3.96%
Worst Day,-7.72%,-5.09%
Best Month,11.48%,12.34%
Worst Month,-18.39%,-9.76%
Best Year,23.83%,29.98%
Worst Year,-3.06%,-19.31%
,,
Avg. Drawdown,-2.24%,-2.73%
Avg. Drawdown Days,33,42
Recovery Factor,2.46,2.16
Ulcer Index,0.07,0.15
Serenity Index,0.71,0.14
,,
Avg. Up Month,3.23%,4.2%
Avg. Down Month,-3.4%,-3.47%
Win Days,2002.61,1890.95
Loss Days,1643.39,1755.05
Win Days%,54.93%,51.86%
Win Month%,61.67%,53.72%
Win Quarter%,75.0%,60.98%
Win Year%,80.0%,72.73%
,,
Beta,-,0.32
Alpha,-,0.06
Correlation,-,32.71%
Treynor Ratio,-,329.44%
