Metric,VAS.AX,Strategy
Risk-Free Rate,4.21%,4.21%
Time in Market,70.0%,70.0%
,,
Total Return,48%,61%
CAGR% (Annual Return),7.6%,9.37%
,,
Sharpe,0.27,0.53
RoMaD,0.21,0.67
Corr to Benchmark,1.0,0.32
Prob. Sharpe Ratio,25.82%,61.6%
Smart Sharpe,0.26,0.5
Sortino,0.37,0.75
Smart Sortino,0.35,0.71
Sortino/√2,0.26,0.53
Smart Sortino/√2,0.25,0.5
Omega,1.09,1.09
,,
Max Drawdown,-35.75%,-13.89%
Longest DD Days,405,748
Volatility (ann.),16.83%,10.14%
R^2,0.1,0.1
Information Ratio,0.0,0.0
Calmar,0.21,0.67
Skew,-1.02,-0.32
Kurtosis,13.9,4.85
,,
Expected Daily%,0.02%,0.02%
Expected Monthly%,0.6%,0.74%
Expected Yearly%,6.72%,8.29%
Daily Value-at-Risk,-1.43%,-0.85%
Expected Shortfall (cVaR),-1.43%,-0.85%
,,
MTD,0.12%,-0.47%
3M,-2.04%,-3.96%
6M,1.78%,9.4%
YTD,0.95%,1.02%
1Y,10.33%,25.35%
3Y (ann.),8.15%,15.47%
5Y (ann.),10.48%,10.61%
10Y (ann.),7.6%,9.37%
All-time (ann.),7.6%,9.37%
,,
Best Day,5.98%,2.75%
Worst Day,-7.72%,-3.02%
Best Month,11.48%,10.99%
Worst Month,-18.39%,-9.22%
Best Year,17.45%,30.74%
Worst Year,-1.54%,-10.47%
,,
Avg. Drawdown,-3.06%,-1.55%
Avg. Drawdown Days,36,28
Recovery Factor,1.3,3.64
Ulcer Index,0.08,0.06
Serenity Index,0.32,0.41
,,
Avg. Up Month,3.65%,2.77%
Avg. Down Month,-4.03%,-2.12%
Win Days,1091.86,1055.59
Loss Days,856.14,892.41
Win Days%,56.05%,54.19%
Win Month%,63.08%,58.46%
Win Quarter%,72.73%,77.27%
Win Year%,83.33%,83.33%
,,
Beta,-,0.19
Alpha,-,0.08
Correlation,-,31.65%
Treynor Ratio,-,298.91%
