Metric,VAS.AX,Strategy
Risk-Free Rate,5.24%,5.24%
Time in Market,69.0%,70.0%
,,
Total Return,115%,58%
CAGR% (Annual Return),7.98%,4.66%
,,
Sharpe,0.25,0.03
RoMaD,0.22,0.16
Corr to Benchmark,1.0,0.33
Prob. Sharpe Ratio,9.83%,2.72%
Smart Sharpe,0.24,0.03
Sortino,0.33,0.05
Smart Sortino,0.33,0.05
Sortino/√2,0.24,0.03
Smart Sortino/√2,0.23,0.03
Omega,1.01,1.01
,,
Max Drawdown,-35.75%,-28.32%
Longest DD Days,626,836
Volatility (ann.),15.05%,14.38%
R^2,0.11,0.11
Information Ratio,-0.01,-0.01
Calmar,0.22,0.16
Skew,-0.89,-0.41
Kurtosis,12.38,4.0
,,
Expected Daily%,0.02%,0.01%
Expected Monthly%,0.63%,0.38%
Expected Yearly%,7.21%,4.22%
Daily Value-at-Risk,-1.27%,-1.22%
Expected Shortfall (cVaR),-1.27%,-1.22%
,,
MTD,0.0%,-0.38%
3M,8.55%,1.4%
6M,7.45%,6.88%
YTD,0.0%,-0.38%
1Y,12.06%,6.87%
3Y (ann.),8.36%,0.91%
5Y (ann.),9.66%,1.76%
10Y (ann.),7.98%,4.66%
All-time (ann.),7.98%,4.66%
,,
Best Day,5.98%,4.19%
Worst Day,-7.72%,-5.59%
Best Month,11.48%,12.51%
Worst Month,-18.39%,-9.88%
Best Year,23.83%,22.4%
Worst Year,-3.06%,-20.19%
,,
Avg. Drawdown,-2.21%,-3.87%
Avg. Drawdown Days,32,85
Recovery Factor,2.46,1.97
Ulcer Index,0.07,0.11
Serenity Index,0.71,0.17
,,
Avg. Up Month,3.43%,3.76%
Avg. Down Month,-3.63%,-4.04%
Win Days,2000.31,1905.15
Loss Days,1642.69,1737.85
Win Days%,54.91%,52.3%
Win Month%,61.67%,53.72%
Win Quarter%,75.0%,56.1%
Win Year%,80.0%,63.64%
,,
Beta,-,0.31
Alpha,-,0.03
Correlation,-,32.82%
Treynor Ratio,-,166.57%
