Metric,VAS.AX,Strategy
Risk-Free Rate,5.24%,5.24%
Time in Market,69.0%,69.0%
,,
Total Return,114%,101%
CAGR% (Annual Return),7.91%,7.24%
,,
Sharpe,0.24,0.2
RoMaD,0.22,0.22
Corr to Benchmark,1.0,0.31
Prob. Sharpe Ratio,9.59%,7.13%
Smart Sharpe,0.24,0.2
Sortino,0.33,0.27
Smart Sortino,0.32,0.27
Sortino/√2,0.23,0.19
Smart Sortino/√2,0.23,0.19
Omega,1.03,1.03
,,
Max Drawdown,-35.75%,-32.29%
Longest DD Days,626,1413
Volatility (ann.),15.03%,15.37%
R^2,0.1,0.1
Information Ratio,-0.0,-0.0
Calmar,0.22,0.22
Skew,-0.89,-0.69
Kurtosis,12.41,7.9
,,
Expected Daily%,0.02%,0.02%
Expected Monthly%,0.63%,0.58%
Expected Yearly%,7.15%,6.56%
Daily Value-at-Risk,-1.27%,-1.3%
Expected Shortfall (cVaR),-1.27%,-1.3%
,,
MTD,0.0%,-0.14%
3M,8.55%,1.73%
6M,7.45%,0.1%
YTD,0.0%,-0.14%
1Y,12.06%,8.61%
3Y (ann.),8.36%,4.3%
5Y (ann.),9.66%,-1.07%
10Y (ann.),7.91%,7.24%
All-time (ann.),7.91%,7.24%
,,
Best Day,5.98%,6.03%
Worst Day,-7.72%,-7.9%
Best Month,11.48%,10.62%
Worst Month,-18.39%,-15.84%
Best Year,23.83%,29.03%
Worst Year,-3.06%,-22.5%
,,
Avg. Drawdown,-2.24%,-2.73%
Avg. Drawdown Days,33,48
Recovery Factor,2.44,2.53
Ulcer Index,0.07,0.15
Serenity Index,0.7,0.14
,,
Avg. Up Month,3.26%,3.65%
Avg. Down Month,-3.22%,-3.91%
Win Days,2003.86,1927.0
Loss Days,1646.14,1723.0
Win Days%,54.9%,52.79%
Win Month%,61.67%,58.33%
Win Quarter%,75.0%,58.54%
Win Year%,80.0%,63.64%
,,
Beta,-,0.32
Alpha,-,0.05
Correlation,-,31.1%
Treynor Ratio,-,301.45%
