datetime,portfolio_value,cash,positions,return
2014-01-02 08:30:00-05:00,100000.0,100000.0,[],
2014-01-02 09:30:00-05:00,100000.0,100000.0,[],0.0
2014-01-02 09:30:00-05:00,100000.0,100000.0,[],0.0
2014-01-03 09:30:00-05:00,100000.0,100000.0,[],0.0
2014-01-04 09:30:00-05:00,100000.0,100000.0,[],0.0
2014-01-05 09:30:00-05:00,100000.0,100000.0,[],0.0
2014-01-06 09:30:00-05:00,100000.0,100000.0,[],0.0
2014-01-07 09:30:00-05:00,100000.0,100000.0,[],0.0
2014-01-08 09:30:00-05:00,100000.0,100000.0,[],0.0
2014-01-09 09:30:00-05:00,100299.49761107564,80000.22213503718,"[{'asset': AEF.AX, 'quantity': 66555.0}]",0.0029949761107563866
2014-01-10 09:30:00-05:00,100299.49761107564,80000.22213503718,"[{'asset': AEF.AX, 'quantity': 66555.0}]",0.0
2014-01-11 09:30:00-05:00,100299.49761107564,80000.22213503718,"[{'asset': AEF.AX, 'quantity': 66555.0}]",0.0
2014-01-12 09:30:00-05:00,100299.49761107564,80000.22213503718,"[{'asset': AEF.AX, 'quantity': 66555.0}]",0.0
2014-01-13 09:30:00-05:00,100299.49761107564,80000.22213503718,"[{'asset': AEF.AX, 'quantity': 66555.0}]",0.0
2014-01-14 09:30:00-05:00,100299.49761107564,80000.22213503718,"[{'asset': AEF.AX, 'quantity': 66555.0}]",0.0
2014-01-15 09:30:00-05:00,100299.49761107564,80000.22213503718,"[{'asset': AEF.AX, 'quantity': 66555.0}]",0.0
2014-01-16 09:30:00-05:00,100299.49761107564,80000.22213503718,"[{'asset': AEF.AX, 'quantity': 66555.0}]",0.0
2014-01-17 09:30:00-05:00,100299.49761107564,60055.47213503718,"[{'asset': AEF.AX, 'quantity': 66555.0}, {'asset': TLS.AX, 'quantity': 3799.0}]",0.0
2014-01-18 09:30:00-05:00,100299.49761107564,60055.47213503718,"[{'asset': AEF.AX, 'quantity': 66555.0}, {'asset': TLS.AX, 'quantity': 3799.0}]",0.0
2014-01-19 09:30:00-05:00,99681.65280359983,60055.47213503718,"[{'asset': AEF.AX, 'quantity': 66555.0}, {'asset': TLS.AX, 'quantity': 3799.0}]",-0.006159999024836438
2014-01-20 09:30:00-05:00,99757.63273113966,60055.47213503718,"[{'asset': AEF.AX, 'quantity': 66555.0}, {'asset': TLS.AX, 'quantity': 3799.0}]",0.0007622257998622928
2014-01-21 09:30:00-05:00,100299.49761107564,60055.47213503718,"[{'asset': AEF.AX, 'quantity': 66555.0}, {'asset': TLS.AX, 'quantity': 3799.0}]",0.005431813737966085
2014-01-22 09:30:00-05:00,99852.75213137269,60055.47213503718,"[{'asset': AEF.AX, 'quantity': 66555.0}, {'asset': TLS.AX, 'quantity': 3799.0}]",-0.004454114829520517
2014-01-23 09:30:00-05:00,99358.59180924296,60055.47213503718,"[{'asset': AEF.AX, 'quantity': 66555.0}, {'asset': TLS.AX, 'quantity': 3799.0}]",-0.004948890356868407
2014-01-24 09:30:00-05:00,99358.59180924296,60055.47213503718,"[{'asset': AEF.AX, 'quantity': 66555.0}, {'asset': TLS.AX, 'quantity': 3799.0}]",0.0
2014-01-25 09:30:00-05:00,99358.59180924296,60055.47213503718,"[{'asset': AEF.AX, 'quantity': 66555.0}, {'asset': TLS.AX, 'quantity': 3799.0}]",0.0
2014-01-26 09:30:00-05:00,99358.59180924296,60055.47213503718,"[{'asset': AEF.AX, 'quantity': 66555.0}, {'asset': TLS.AX, 'quantity': 3799.0}]",0.0
2014-01-27 09:30:00-05:00,99168.64289614558,60055.47213503718,"[{'asset': AEF.AX, 'quantity': 66555.0}, {'asset': TLS.AX, 'quantity': 3799.0}]",-0.0019117512601433129
2014-01-28 09:30:00-05:00,99130.65202662349,60055.47213503718,"[{'asset': AEF.AX, 'quantity': 66555.0}, {'asset': TLS.AX, 'quantity': 3799.0}]",-0.0003830935708365457
2014-01-29 09:30:00-05:00,99282.90358057618,60055.47213503718,"[{'asset': AEF.AX, 'quantity': 66555.0}, {'asset': TLS.AX, 'quantity': 3799.0}]",0.001535867573147831
2014-01-30 09:30:00-05:00,99843.61804583669,60055.47213503718,"[{'asset': AEF.AX, 'quantity': 66555.0}, {'asset': TLS.AX, 'quantity': 3799.0}]",0.005647643703383887
2014-01-31 09:30:00-05:00,99843.61804583669,60055.47213503718,"[{'asset': AEF.AX, 'quantity': 66555.0}, {'asset': TLS.AX, 'quantity': 3799.0}]",0.0
2014-02-01 09:30:00-05:00,99843.61804583669,60055.47213503718,"[{'asset': AEF.AX, 'quantity': 66555.0}, {'asset': TLS.AX, 'quantity': 3799.0}]",0.0
2014-02-02 09:30:00-05:00,99919.59797337651,60055.47213503718,"[{'asset': AEF.AX, 'quantity': 66555.0}, {'asset': TLS.AX, 'quantity': 3799.0}]",0.0007609893253761602
2014-02-03 09:30:00-05:00,99760.98151388764,60055.47213503718,"[{'asset': AEF.AX, 'quantity': 66555.0}, {'asset': TLS.AX, 'quantity': 3799.0}]",-0.0015874409295675296
2014-02-04 09:30:00-05:00,98815.07401022315,60055.47213503718,"[{'asset': AEF.AX, 'quantity': 66555.0}, {'asset': TLS.AX, 'quantity': 3799.0}]",-0.009481738143612972
2014-02-05 09:30:00-05:00,98663.1141551435,60055.47213503718,"[{'asset': AEF.AX, 'quantity': 66555.0}, {'asset': TLS.AX, 'quantity': 3799.0}]",-0.0015378205866033445
2014-02-06 09:30:00-05:00,98739.09408268332,60055.47213503718,"[{'asset': AEF.AX, 'quantity': 66555.0}, {'asset': TLS.AX, 'quantity': 3799.0}]",0.0007700945605704224
2014-02-07 09:30:00-05:00,98739.09408268332,60055.47213503718,"[{'asset': AEF.AX, 'quantity': 66555.0}, {'asset': TLS.AX, 'quantity': 3799.0}]",0.0
2014-02-08 09:30:00-05:00,98739.09408268332,60055.47213503718,"[{'asset': AEF.AX, 'quantity': 66555.0}, {'asset': TLS.AX, 'quantity': 3799.0}]",0.0
2014-02-09 09:30:00-05:00,98625.12509712577,60055.47213503718,"[{'asset': AEF.AX, 'quantity': 66555.0}, {'asset': TLS.AX, 'quantity': 3799.0}]",-0.001154243783745068
2014-02-10 09:30:00-05:00,99435.15133953094,60055.47213503718,"[{'asset': AEF.AX, 'quantity': 66555.0}, {'asset': TLS.AX, 'quantity': 3799.0}]",0.008213183421643011
2014-02-11 09:30:00-05:00,99768.04232931137,40230.58207079768,"[{'asset': AEF.AX, 'quantity': 66555.0}, {'asset': TLS.AX, 'quantity': 3799.0}, {'asset': REA.AX, 'quantity': 421.0}]",0.003347820014309999
2014-02-12 09:30:00-05:00,99805.84247723222,40230.58207079768,"[{'asset': AEF.AX, 'quantity': 66555.0}, {'asset': TLS.AX, 'quantity': 3799.0}, {'asset': REA.AX, 'quantity': 421.0}]",0.0003788803211761671
