Metric,VAS.AX,Strategy
Risk-Free Rate,5.24%,5.24%
Time in Market,69.0%,70.0%
,,
Total Return,115%,307%
CAGR% (Annual Return),7.98%,15.11%
,,
Sharpe,0.25,0.64
RoMaD,0.22,0.54
Corr to Benchmark,1.0,0.34
Prob. Sharpe Ratio,9.83%,45.81%
Smart Sharpe,0.24,0.62
Sortino,0.33,0.93
Smart Sortino,0.32,0.89
Sortino/√2,0.24,0.65
Smart Sortino/√2,0.23,0.63
Omega,1.11,1.11
,,
Max Drawdown,-35.75%,-27.95%
Longest DD Days,626,786
Volatility (ann.),15.05%,15.85%
R^2,0.11,0.11
Information Ratio,0.02,0.02
Calmar,0.22,0.54
Skew,-0.89,-0.21
Kurtosis,12.38,3.36
,,
Expected Daily%,0.02%,0.04%
Expected Monthly%,0.63%,1.17%
Expected Yearly%,7.21%,13.6%
Daily Value-at-Risk,-1.27%,-1.32%
Expected Shortfall (cVaR),-1.27%,-1.32%
,,
MTD,0.0%,-1.29%
3M,8.55%,5.3%
6M,7.45%,7.35%
YTD,0.0%,-1.29%
1Y,12.06%,21.95%
3Y (ann.),8.36%,5.7%
5Y (ann.),9.66%,13.96%
10Y (ann.),7.98%,15.11%
All-time (ann.),7.98%,15.11%
,,
Best Day,5.98%,3.91%
Worst Day,-7.72%,-5.29%
Best Month,11.48%,14.01%
Worst Month,-18.39%,-9.38%
Best Year,23.83%,52.37%
Worst Year,-3.06%,-22.94%
,,
Avg. Drawdown,-2.21%,-2.26%
Avg. Drawdown Days,32,25
Recovery Factor,2.46,5.47
Ulcer Index,0.07,0.09
Serenity Index,0.71,0.75
,,
Avg. Up Month,3.36%,4.11%
Avg. Down Month,-3.75%,-3.51%
Win Days,2000.31,1927.38
Loss Days,1642.69,1715.62
Win Days%,54.91%,52.91%
Win Month%,61.67%,62.81%
Win Quarter%,75.0%,73.17%
Win Year%,80.0%,81.82%
,,
Beta,-,0.35
Alpha,-,0.12
Correlation,-,33.64%
Treynor Ratio,-,851.11%
