Metric,VAS.AX,Strategy
Risk-Free Rate,4.21%,4.21%
Time in Market,69.0%,70.0%
,,
Total Return,127%,753%
CAGR% (Annual Return),8.27%,23.07%
,,
Sharpe,0.33,1.01
RoMaD,0.23,0.9
Corr to Benchmark,1.0,0.32
Prob. Sharpe Ratio,26.34%,91.36%
Smart Sharpe,0.32,0.97
Sortino,0.45,1.45
Smart Sortino,0.43,1.4
Sortino/√2,0.32,1.03
Smart Sortino/√2,0.3,0.99
Omega,1.19,1.19
,,
Max Drawdown,-35.75%,-25.58%
Longest DD Days,626,787
Volatility (ann.),15.01%,18.13%
R^2,0.1,0.1
Information Ratio,0.04,0.04
Calmar,0.23,0.9
Skew,-0.89,-0.4
Kurtosis,12.52,7.7
,,
Expected Daily%,0.02%,0.06%
Expected Monthly%,0.66%,1.73%
Expected Yearly%,7.75%,21.52%
Daily Value-at-Risk,-1.27%,-1.5%
Expected Shortfall (cVaR),-1.27%,-1.5%
,,
MTD,0.12%,0.77%
3M,-2.04%,-2.15%
6M,1.78%,8.37%
YTD,0.95%,6.17%
1Y,10.33%,37.9%
3Y (ann.),8.15%,25.05%
5Y (ann.),10.48%,15.38%
10Y (ann.),7.66%,20.98%
All-time (ann.),8.27%,23.07%
,,
Best Day,5.98%,6.66%
Worst Day,-7.72%,-8.74%
Best Month,11.48%,19.22%
Worst Month,-18.39%,-18.08%
Best Year,23.83%,68.44%
Worst Year,-3.06%,-20.84%
,,
Avg. Drawdown,-2.4%,-3.32%
Avg. Drawdown Days,33,32
Recovery Factor,2.62,9.05
Ulcer Index,0.07,0.09
Serenity Index,0.79,1.3
,,
Avg. Up Month,3.21%,5.55%
Avg. Down Month,-3.72%,-4.09%
Win Days,2091.67,2088.82
Loss Days,1682.33,1685.18
Win Days%,55.42%,55.35%
Win Month%,63.2%,62.4%
Win Quarter%,69.05%,69.05%
Win Year%,81.82%,90.91%
,,
Beta,-,0.39
Alpha,-,0.19
Correlation,-,32.11%
Treynor Ratio,-,1932.22%
